FinCEN:  Top 100 County Rankings by Total Subjects in MLF SARs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,State,County FIPS,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2
Los Angeles,California,6037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cook,Illinois,17031,2,2,2,2,2,4,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,2,2,2,3,3
Harris,Texas,48201,4,6,6,6,7,9,11,13,14,22,21,24,24,24,28,24,29,21,16,14,16,13,22,9,15,16
Maricopa,Arizona,4013,7,5,5,5,5,7,5,8,5,7,8,7,5,4,4,4,4,5,4,5,8,5,4,5,4,3
San Diego,California,6073,10,8,11,8,10,8,10,9,9,8,7,8,7,9,7,8,10,6,9,10,6,4,10,3,5,6
Orange,California,6059,3,4,4,3,4,3,4,4,4,4,4,5,4,5,5,6,6,4,6,4,3,3,3,4,2,2
Kings,New York,36047,22,23,28,32,31,29,25,28,26,24,25,26,25,23,23,16,11,16,7,8,11,12,17,10,8,7
Miami-Dade,Florida,12086,6,3,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,8,8,6,7,11
Dallas,Texas,48113,17,12,14,15,18,15,21,26,29,31,34,38,28,28,30,31,21,40,34,31,31,25,40,47,38,38
Queens,New York,36081,34,22,22,23,21,17,16,14,21,21,23,18,15,14,11,13,13,11,5,6,15,11,12,15,10,12
Riverside,California,6065,13,10,9,11,9,6,6,7,7,10,9,9,8,8,9,9,8,8,8,9,5,5,7,12,6,5
San Bernardino,California,6071,19,15,12,17,15,12,7,12,11,12,13,13,10,11,12,10,7,11,11,13,10,10,6,21,9,8
Clark,Nevada,32003,16,17,13,14,10,11,11,6,8,9,10,10,9,7,8,18,9,9,13,12,14,17,11,14,11,10
King,Washington,53033,26,30,34,39,40,28,27,27,27,30,28,30,30,29,26,25,15,15,19,19,16,20,21,28,13,15
Wayne,Michigan,26163,5,7,9,7,6,10,9,10,10,19,12",20,18,17,17,7,17,26,31,15,28,30,24,17,26,28
